Rank,Player,Number,Position,Handedness,Team,BA,H,BB,SO,BB/K,AB,PA
1,,#13,SS,RHH,Lotte Giants,.403,31,4,17,0.24,77,87
2,,#31,RF,LHH,NC Dinos,.394,28,6,9,0.67,71,78
3,,#8,RF,LHH,Doosan Bears,.364,24,4,16,0.25,66,73
4,,#0,LF,LHH,Lotte Giants,.357,25,3,10,0.30,70,74
5,,#22,LF,LHH,LG Twins,.352,25,10,9,1.11,71,83
6,,#53,LF,LHH,KT Wiz,.348,32,5,8,0.63,92,100
7,,#16,2B,LHH,Samsung Lions,.343,23,9,15,0.60,67,81
8,,#27,C,RHH,LG Twins,.342,26,14,17,0.82,76,92
9,,#13,3B,RHH,KT Wiz,.330,29,9,10,0.90,88,99
10,,#2,3B,LHH,LG Twins,.326,29,18,18,1.00,89,110
11,Austin Dean,,,,LG Twins,.318,27,16,10,1.60,85,102
12,Víctor Reyes,,,,Lotte Giants,.308,32,7,18,0.39,104,114
13,Kang Min-ho,,,,Samsung Lions,.306,26,7,16,0.44,85,94
14,Moon Hyun-bin,,,,Hanwha Eagles,.304,24,6,14,0.43,79,85
15,Jung Soo-bin,,,,Doosan Bears,.302,26,15,11,1.36,86,105
16,Choi Joo-hwan,,,,Kiwoom Heroes,.301,28,6,11,0.55,93,101
17,Ko Myeong-jun,,,,SSG Landers,.300,24,5,18,0.28,80,86
18,Estevan Florial,,,,Hanwha Eagles,.298,31,11,27,0.41,104,116
19,Choi Ji-hoon,,,,SSG Landers,.298,28,7,16,0.44,94,105
20,Oh Ji-hwan,,,,LG Twins,.297,22,5,16,0.31,74,85
21,Yang Suk-hwan,,,,Doosan Bears,.291,25,7,27,0.26,86,99
22,Yang Eui-ji,,,,Doosan Bears,.289,24,15,16,0.94,83,100
23,Chae Eun-seong,,,,Hanwha Eagles,.286,26,7,20,0.35,91,101
24,Choi Hyoung-woo,,,,Kia Tigers,.280,23,10,19,0.53,82,92
25,Na Seung-yeup,,,,Lotte Giants,.278,25,18,16,1.13,90,110
26,Roh Si-hwan,,,,Hanwha Eagles,.276,27,8,23,0.35,98,109
27,Lewin Díaz,,,,Samsung Lions,.274,26,5,18,0.28,95,101
28,Ruben Cardenas,,,,Kiwoom Heroes,.271,19,14,19,0.74,70,88
29,Park Hae-min,,,,LG Twins,.265,18,12,21,0.57,68,86
30,Kang Baek-ho,,,,KT Wiz,.264,23,7,20,0.35,87,95
31,Kim Hun-gon,,,,Samsung Lions,.264,19,3,10,0.30,72,77
32,Patrick Wisdom,,,,Kia Tigers,.262,21,19,24,0.79,80,100
33,Kim Tae-yean,,,,Hanwha Eagles,.261,23,6,18,0.33,88,97
34,Lee Woo-sung,,,,Kia Tigers,.261,18,11,12,0.92,69,81
35,Kim Young-woong,,,,Samsung Lions,.258,24,5,28,0.18,93,100
36,Kwon Hui-dong,,,,NC Dinos,.255,14,17,10,1.70,55,78
37,Lee Jae-hyeon,,,,Samsung Lions,.253,21,22,25,0.88,83,109
38,Jeon Jun-woo,,,,Lotte Giants,.250,23,11,16,0.69,92,105
39,Lee Ju-hyoung,,,,Kiwoom Heroes,.244,21,7,29,0.24,86,99
40,Park Seong-han,,,,SSG Landers,.241,19,13,18,0.72,79,94
41,Han Yoo-seom,,,,SSG Landers,.237,19,8,26,0.31,80,89
42,Kim Min-sung,,,,Lotte Giants,.235,16,8,9,0.89,68,78
43,Hong Chang-ki,,,,LG Twins,.234,18,12,23,0.52,77,98
44,Kang Seung-ho,,,,Doosan Bears,.233,21,7,29,0.24,90,99
45,Byun Woo-hyuk,,,,Kia Tigers,.233,17,3,23,0.13,73,77
46,Koo Ja-wook,,,,Samsung Lions,.232,22,12,19,0.63,95,110
47,Lee Ji-young,,,,SSG Landers,.231,15,4,6,0.67,65,73
48,Na Sung-bum,,,,Kia Tigers,.230,20,16,19,0.84,87,104
49,Bae Jeong-dae,,,,KT Wiz,.230,17,3,21,0.14,74,85
50,Mel Rojas Jr.,,,,KT Wiz,.228,21,20,25,0.80,92,113
51,Song Chan-eui,,,,LG Twins,.227,15,5,22,0.23,66,74
52,Yasiel Puig,,,,Kiwoom Heroes,.217,23,7,28,0.25,106,117
53,Kim Sang-su,,,,KT Wiz,.217,13,14,6,2.33,60,74
54,Song Sung-mun,,,,Kiwoom Heroes,.216,22,13,15,0.87,102,116
55,Shin Min-jae,,,,LG Twins,.215,14,15,7,2.14,65,81
56,Kim Ju-won,,,,NC Dinos,.215,17,11,22,0.50,79,92
56,Choi Won-jun,,,,Kia Tigers,.215,17,6,15,0.40,79,85
58,Oh Tae-gon,,,,SSG Landers,.210,13,10,18,0.56,62,75
59,Jang Sung-woo,,,,KT Wiz,.200,16,12,21,0.57,80,96
60,Park Byung-ho,,,,Samsung Lions,.195,15,11,29,0.38,77,93
61,Hwang Young-mook,,,,Hanwha Eagles,.181,13,11,9,1.22,72,84
62,Jeong Jun-jae,,,,SSG Landers,.155,11,12,20,0.60,71,85
