pcode,Player Name,Batting Hand
52001,Ahn Hyun-min,R
79608,An Chi-Hong,R
53123,Austin Dean,R
79192,Chae Eun-seong,R
50054,Cheon Seong-ho,L
72443,Choi Hyoung-woo,L
50707,Choi In-ho,L
75847,Choi Jeong,R
50854,Choi Ji-Hoon,L
76267,Choi Joo-hwan,L
66606,Choi Won-jun,L
56010,Daz Cameron,UNK
56251,Daz Cameron,R
55392,Eo Joon-seo,L
55734,Estevan Florial,L
69517,Go Seung-min,L
53827,Guillermo Heredia,R
69813,Ha Jae-hoon,R
62895,Han Yoo-seom,L
56100,Harold Castro,UNK
56626,Harold Castro,L
52025,Henry Ramos,S
79240,Heo Kyoung-Min,R
66108,Hong Chang-ki,L
50500,Hwang Seong-bin,L
64340,Im Ji-yeol,R
55208,Jake Cave,L
78548,Jang Sung-woo,R
54295,Jared Young,L
78513,Jeon Jun-woo,R
60523,Jung Hoon,R
79231,Jung Soo-bin,L
68050,Kang Baek-ho,L
74540,Kang Min-ho,R
63123,Kang Seung-ho,R
61102,Kang-nam Yoo,R
52605,Kim Do-yeong,R
67304,Kim Hye-Seong,L
76290,Kim Hyun-soo,L
66715,Kim In-Hwan,L
78224,Kim Jae-hwan,L
50458,Kim Ji-chan,L
51907,Kim Ju-won,S
64004,Kim Min-hyuck,L
67449,Kim Seong-yoon,L
78603,Kim Sun-bin,R
66704,Kim Tae-yean,R
52430,Kim Young-woong,L
62404,Koo Ja-wook,L
63963,Kwon Hui-dong,R
78135,Lee Hyung-jong,R
52415,Lee Jae-hyeon,R
51302,Lee Ju-hyoung,L
63260,Lee Woo-sung,R
54400,Lewin Díaz,L
55703,Luis Liberato,L
54944,Matthew Davidson,R
67025,Mel Rojas Jr.,S
62864,Min-sik Kim,L
69102,Moon Bo-gyeong,L
53764,Moon Hyun-bin,L
68119,Moon Sung-Ju,L
51551,Na Seung-yeup,L
62947,Na Sung-bum,L
69636,Oh Sun-woo,L
75125,Park Byung-ho,R
64646,Park Chan-ho,R
79365,Park Dong-won,R
62415,Park Hae-min,L
54805,Park Ji-hwan,R
79215,Park Kun-woo,R
62907,Park Min-woo,L
55645,Patrick Wisdom,R
69737,Roh Si-Hwan,R
53327,Ronnie Dawson,L
54444,Ruben Cardenas,R
62234,Ryu Ji-hyuk,L
56234,Sam Hilliard,UNK
56034,Sam Hilliard,L
79402,Sang-su Kim,R
65207,Shin Min-jae,L
52630,Socrates Brito,L
77532,Son Ah-seop,L
50150,Son Ho-young,R
65357,Song Sung-mun,L
56301,Trenton Brooks,UNK
56322,Trenton Brooks,L
54529,Víctor Reyes,S
76232,Yang Eui-ji,R
64153,Yang Suk-Hwan,R
52366,Yasiel Puig,R
54730,Yonathan Perlaza,S
52591,Yoon Dong-hee,R
51203,An Jae-seok,L
52348,Park Chan-hyeok,R
56632,Jarryd Dale,R
51868,Ko Myeong-jun,R
56754,Oh Jae-won,L
62931,No Jin-hyuk,L
67893,Park Seong-Han,L
