Team Name,Stadium,Home Team / Stadium,Season G,Home Team R,Visitor H,March 2025 2B,April 2025 3B,May 2025 HR,June 2025 R/G,July 2025 H/G,August 2025 HR/G,September 2025 G,October 2025 R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G,G,R,H,2B,3B,HR,R/G,H/G,HR/G
KT Wiz,Suwon,,73,686,1348,231,18,115,9.40,18.47,1.58,,73,325,613,107,7,56,4.45,8.40,0.77,,73,361,735,124,11,59,4.95,10.07,0.81,,5,39,91,22,0,8,7.80,18.20,1.60,,10,95,165,33,3,17,9.50,16.50,1.70,,17,144,301,53,7,24,8.47,17.71,1.41,,11,98,213,27,2,11,8.91,19.36,1.00,,9,81,159,23,0,15,9.00,17.67,1.67,,10,99,188,34,4,16,9.90,18.80,1.60,,10,118,210,36,2,23,11.80,21.00,2.30
LG Twins,Seoul-Jamsil,,71,649,1257,241,21,86,9.14,17.70,1.21,,71,369,667,126,11,55,5.20,9.39,0.77,,71,280,590,115,10,31,3.94,8.31,0.44,,5,38,68,12,1,8,7.60,13.60,1.60,,11,82,162,39,0,10,7.45,14.73,0.91,,14,125,236,34,4,26,8.93,16.86,1.86,,12,137,243,43,3,12,11.42,20.25,1.00,,9,80,165,34,5,10,8.89,18.33,1.11,,12,106,232,47,6,13,8.83,19.33,1.08,,7,72,134,30,2,7,10.29,19.14,1.00
Kia Tigers,Gwangju,,71,663,1301,235,19,124,9.34,18.32,1.75,,71,325,639,116,7,68,4.58,9.00,0.96,,71,338,662,119,12,56,4.76,9.32,0.79,,5,72,111,26,1,12,14.40,22.20,2.40,,12,102,188,41,2,16,8.50,15.67,1.33,,11,90,207,42,1,16,8.18,18.82,1.45,,9,69,154,26,1,13,7.67,17.11,1.44,,13,119,242,37,4,25,9.15,18.62,1.92,,7,81,142,23,4,18,11.57,20.29,2.57,,11,92,188,32,3,18,8.36,17.09,1.64
SSG Landers,Incheon-Munhak,,73,608,1184,147,11,146,8.33,16.22,2.00,,73,310,613,73,6,76,4.25,8.40,1.04,,73,298,571,74,5,70,4.08,7.82,0.96,,5,34,77,9,1,4,6.80,15.40,0.80,,13,97,205,32,3,17,7.46,15.77,1.31,,13,111,192,22,4,24,8.54,14.77,1.85,,10,68,160,22,0,21,6.80,16.00,2.10,,8,63,116,10,0,18,7.88,14.50,2.25,,14,138,258,28,1,40,9.86,18.43,2.86,,9,86,159,23,2,18,9.56,17.67,2.00
Samsung Lions,Daegu,,68,739,1297,215,20,171,10.87,19.07,2.51,,68,414,661,118,9,96,6.09,9.72,1.41,,68,325,636,97,11,75,4.78,9.35,1.10,,5,85,123,21,3,17,17.00,24.60,3.40,,14,145,269,45,3,39,10.36,19.21,2.79,,11,109,196,34,2,23,9.91,17.82,2.09,,10,114,204,34,3,28,11.40,20.40,2.80,,7,74,138,23,1,16,10.57,19.71,2.29,,9,91,162,24,4,22,10.11,18.00,2.44,,12,121,205,34,4,26,10.08,17.08,2.17
Hanwha Eagles,Daejeon,,37,311,650,120,10,50,8.41,17.57,1.35,,37,181,355,69,4,29,4.89,9.59,0.78,,37,130,295,51,6,21,3.51,7.97,0.57,,3,26,47,10,1,5,8.67,15.67,1.67,,13,102,214,45,5,17,7.85,16.46,1.31,,12,102,219,30,2,19,8.50,18.25,1.58,,9,81,170,35,2,9,9.00,18.89,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotte Giants,Busan-Sajik,,71,752,1366,278,24,98,10.59,19.24,1.38,,71,353,665,130,10,38,4.97,9.37,0.54,,71,399,701,148,14,60,5.62,9.87,0.85,,3,14,42,7,1,2,4.67,14.00,0.67,,11,126,231,52,4,9,11.45,21.00,0.82,,14,168,273,58,2,23,12.00,19.50,1.64,,12,124,237,50,2,17,10.33,19.75,1.42,,12,116,222,37,7,15,9.67,18.50,1.25,,14,119,236,42,5,20,8.50,16.86,1.43,,5,85,125,32,3,12,17.00,25.00,2.40
NC Dinos,Changwon,,62,720,1157,195,24,141,11.61,18.66,2.27,,62,333,535,93,12,66,5.37,8.63,1.06,,62,387,622,102,12,75,6.24,10.03,1.21,,2,30,40,4,0,6,15.00,20.00,3.00,,,,,,,,,,,,2,23,38,7,3,2,11.50,19.00,1.00,,12,134,215,38,5,29,11.17,17.92,2.42,,12,130,205,39,1,18,10.83,17.08,1.50,,20,252,410,59,12,50,12.60,20.50,2.50,,13,143,234,45,3,34,11.00,18.00,2.62
Kiwoom Heroes,Seoul-Gocheok,,71,609,1174,204,24,108,8.58,16.54,1.52,,71,234,514,89,5,51,3.30,7.24,0.72,,71,375,660,115,19,57,5.28,9.30,0.80,,3,26,47,8,1,6,8.67,15.67,2.00,,14,142,242,40,6,25,10.14,17.29,1.79,,15,138,255,48,8,21,9.20,17.00,1.40,,16,136,287,42,4,25,8.50,17.94,1.56,,6,42,94,20,0,8,7.00,15.67,1.33,,12,92,185,34,4,16,7.67,15.42,1.33,,5,33,64,12,1,7,6.60,12.80,1.40
Doosan Bears,Seoul-Jamsil,,73,627,1220,211,23,86,8.59,16.71,1.18,,73,283,596,107,10,39,3.88,8.16,0.53,,73,344,624,104,13,47,4.71,8.55,0.64,,3,22,37,5,2,1,7.33,12.33,0.33,,13,126,226,47,3,15,9.69,17.38,1.15,,13,106,207,33,1,17,8.15,15.92,1.31,,10,74,167,23,4,10,7.40,16.70,1.00,,12,111,214,38,6,15,9.25,17.83,1.25,,14,133,257,41,4,20,9.50,18.36,1.43,,8,55,112,24,3,8,6.88,14.00,1.00
NC Dinos,Busan-Sajik,,3,29,47,7,1,4,9.67,15.67,1.33,,3,14,16,2,0,4,4.67,5.33,1.33,,3,15,31,5,1,0,5.00,10.33,0.00,,,,,,,,,,,,3,29,47,7,1,4,9.67,15.67,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Lions,Pohang,,3,26,46,12,2,4,8.67,15.33,1.33,,3,20,26,8,1,2,6.67,8.67,0.67,,3,6,20,4,1,2,2.00,6.67,0.67,,,,,,,,,,,,,,,,,,,,,,3,26,46,12,2,4,8.67,15.33,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC Dinos,Ulsan,,6,34,75,13,2,5,5.67,12.50,0.83,,6,20,42,7,2,2,3.33,7.00,0.33,,6,14,33,6,0,3,2.33,5.50,0.50,,,,,,,,,,,,,,,,,,,,,,6,34,75,13,2,5,5.67,12.50,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwha Eagles,Daejeon,,36,341,668,128,9,51,9.47,18.56,1.42,,36,187,338,63,2,28,5.19,9.39,0.78,,36,154,330,65,7,23,4.28,9.17,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,111,216,37,2,19,9.25,18.00,1.58,,15,117,245,50,3,19,7.80,16.33,1.27,,9,113,207,41,4,13,12.56,23.00,1.44
Lotte Giants,Ulsan,,2,18,34,6,0,2,9.00,17.00,1.00,,2,3,12,1,0,1,1.50,6.00,0.50,,2,15,22,5,0,1,7.50,11.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,34,6,0,2,9.00,17.00,1.00
