pcode,Player Name,Throwing Hand
55633,Adam Oller,UNK
55532,Alec Gamboa,L
55912,Allen Logan,L
54833,Andrew Anderson,R
56841,Anthony Veneziano,L
53375,Ariel Jurado,R
56523,BEASLEY Jeremy,R
51761,Bae Dong Hyun,R
56036,Caleb Boushley,R
52528,Charlie Barnes,L
2746,Choi Min Seok,R
51264,Choi Seung-yong,L
67263,Choi Won Joon,UNK
65320,Choi Won-tae,R
55730,Cody Ponce,R
55257,Cole Irvin,L
54443,Denyi Reyes,R
56928,Drew Verhagen,R
54119,Elieser Hernandez,R
54354,Enmanuel De Jesus,L
56712,HERNANDEZ Wilkel,R
64350,Ha Yeong-min,R
61101,Im Chan Kyu,R
54640,James Naile,R
55313,Jung Hyun-woo,L
65933,KOO Chang Mo,L
55322,Kenny Rosenberg,L
69745,Kim Do-hyeon,R
51516,Kim Jin-uk,L
51867,Kim Keon Woo,UNK
77829,Kim Kwang Hyun,L
54319,Kim Yun-ha,R
64001,Ko Young-pyo,R
60146,Lee Seung-hyun,R
55855,Mitch White,R
53973,Mok Ji-hoon,R
52701,Moon Dong-ju,R
62869,Moon Seung Won,R
67539,Na Gyun-an,R
56334,Nathan Wiles,R
56911,Natsuki Toda,R
56464,O`LOUGHLIN Jack,L
,Oh Seok Joo,R
50859,Oh Won-seok,L
60841,Park Jong-hun,UNK
64021,Park Se Woong,R
69045,Raul Alcántara,R
55903,Riley Thompson,R
54755,Ryan Weiss,R
76715,Ryu Hyun-jin,L
56032,SAUER Matthew,R
68902,Shin Min-hyeok,R
56823,Shota Takeda,R
50030,So Hyeong-Jun,R
67143,Son Ju-young,L
51111,Song Seung Ki,L
56966,TAYLOR Curtis,R
55536,Tucker Davidson,L
65056,Um Sang-back,UNK
56719,WANG Yan-Cheng,L
69032,William Cuevas,R
69446,Won Tae-in,R
68415,Yang Chang Seop,R
77637,Yang Hyeon-jong,L
55146,Yonny Chirinos,R
55239,Zach Logue,L
